"","docid","x","y","topicid","topicid_orig","label_x","label_y","title","contributor1","publishername","cover_url","concept","description","calais"
"1",10040124,-0.0294990079011468,0.108262133910325,6,3,"Economics","Mathematical economics","Option Theory","James, Peter","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471492892.jpg","black scholes conditional expectations calculus edgeworth expansions exchange rate finite difference methods forward contracts greeks heat equation american options partial differential equations random walk stochastic control trinomial trees brownian motion","A unified development of the subject, presenting the theory of options in each of the different forms and stressing the equivalence between each of the methodologies.   Demystifies some of the more complex topics.  Derives practical, tangible results using the theory, to help practitioners in problem solving.  Applies the results obtained to the analysis and pricing of options in the equity, currency, commodity and interest rate markets.  Gives the reader the analytical tools and technical jargon to understand the current technical literature available.  Provides a user-friendly reference on option theory for practicing investors and traders","Options Mathematical finance Stochastic processes Investment Contract law Black–Scholes model Barrier option Quantitative analyst Binary option Local volatility Asian option Stochastic differential equation"
"2",10040125,-0.0862527244917623,0.0261052415501312,4,2,"Finance","Financial management","Capital Asset Investment : Strategy, Tactics and Tools","Herbst, Anthony F.","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0470845112.jpg","decision trees depreciation capital risk geometric mean mapi","Providing a balanced and practical approach to capital management and budgeting, this book covers the full spectrum of capital investments, from the basics through the latest innovations. It is aimed at managers who are involved in capital investment decisions: setting company capital investment policy; performing project analyses; and drafting recommendations. Those in top management will benefit from discussions of strong and weak points of various methods and concepts. Included in the arsenal of capital investment tools in this book are concepts of proven usefulness, such as the MAPI method, no longer available in other works on the topic of capital budgeting, and other topics not covered elsewhere, such as abandonment analysis.","Corporate finance Financial markets Mathematical finance Investment Fundamental analysis Capital budgeting Finance Valuation Beta Depreciation Arbitrage Cash flow"
"3",10040133,-0.182056502915454,-0.0540568634349515,3,2,"Finance","Risk","Simple Rules of Risk : Revisiting the Art of Financial Risk Management","Banks, Erik","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0470847743.jpg","control risks enron financial risk management risk function risk governance risk management","""In an age where companies and financial institutions are keenly focused on managing the financial risk of their operations, the implementation of quantitative methods and models has been of tremendous help. Tools such as VaR, credit VaR, risk-adjusted returns, and scenario analyses have given institutions the means to quantify and understand their risk profiles. However, the focus on quantitative risk management, while important, can sometimes be over-emphasized--at the expense of logic and experience.  At its core, the successful management of risk is still largely an """"art."""" The Simple Rules of Risk takes a fresh look at the qualitative aspects of risk management. It also considers how qualitative approaches can make optimal use of the mathematical aspects of risk management to create the most effective framework possible.""","Actuarial science Risk Financial risk Security Financial risk management Risk management Credit risk Value at risk Liquidity risk Investment banking Enterprise risk management IT risk management"
"4",10040354,-0.0211802976296826,0.110864132318866,6,3,"Economics","Mathematical economics","Quantitative Methods in Derivatives Pricing","Tavella, Domingo","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471274798.jpg","estimator bias boundary conditions brownian bridge conditional expectation differentiable credit derivatives discretizations infinitesimal joint distribution latin hypercube libor option pricing random variables stochastic calculus stochastic differential equations variance","This book presents a cogent description of the main methodologies used in derivatives pricing. Starting with a summary of the elements of Stochastic Calculus, Quantitative Methods in Derivatives Pricing develops the fundamental tools of financial engineering, such as scenario generation, simulation for European instruments, simulation for American instruments, and finite differences in an intuitive and practical manner, with an abundance of practical examples and case studies.  Intended primarily as an introductory graduate textbook in computational finance, this book will also serve as a reference for practitioners seeking basic information on alternative pricing methodologies.","Stochastic processes Mathematical finance Numerical analysis Contract law Option Quantitative analyst Stochastic differential equation Girsanov theorem Stochastic Discretization error Certificate in Quantitative Finance Monte Carlo methods in finance"
"5",10040355,-0.0966772670113572,0.0107419881179305,4,2,"Finance","Financial management","Financial Statement Analysis : A Practitioner's Guide","Fridson, Martin","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471264601.jpg","cash flow statement citigroup dime ebitda fide financial statements financial statement analysis income statement death duties real numbers sensitivity analysis","""Praise for Financial Statement Analysis  	""""This is an illuminating and insightful tour of financial statements, how they can be used to inform, how they can be used to mislead, and how they can be used to analyze the financial health of a company."""" 	–Professor Jay O. Light 	Harvard Business School  	""""Financial Statement Analysis should be required reading for anyone who puts a dime to work in the securities markets or recommends that others do the same."""" 	–Jack L. Rivkin 	Executive Vice President (retired) 	Citigroup Investments  	""""Fridson and Alvarez provide a valuable practical guide for understanding, interpreting, and critically assessing financial reports put out by firms. Their discussion of profits–‘quality of earnings’–is particularly insightful given the recent spate of reporting problems encountered by firms. I highly recommend their book to anyone interested in getting behind the numbers as a means of predicting future profits and stock prices."""" 	–Paul Brown 	Chair–Department of Accounting 	Leonard N. Stern School of Business, NYU  	""""Let this book assist in financial awareness and transparency and higher standards of reporting, and accountability to all stakeholders."""" 	–Patricia A. Small 	Treasurer Emeritus, University of California 	Partner, KCM Investment Advisors  	""""This book is a polished gem covering the analysis of financial statements. It is thorough, skeptical, and extremely practical in its review."""" 	–Daniel J. Fuss 	Vice Chairman 	Loomis, Sayles & Company, LP""","Financial statements Generally Accepted Accounting Principles Financial accounting Fundamental analysis Cash flow Financial ratio Income statement Valuation Cash flow statement Earnings before interest, taxes, depreciation, and amortization Income Equity"
"6",10040356,0.0227455201713248,-0.0232657718055257,2,1,"Business","Strategy - Marketing","Kellogg on Marketing","Iacobucci, Dawn","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471054046.jpg","northwestern university quaker oats company","""Praise for Kellogg on Marketing  	""""The Kellogg Graduate School of Management at Northwestern University has always been at the forefront of cutting-edge marketing. What a treasure to find such a complete anthology of today's best strategic marketers all in one place. Kellogg on Marketing provides a unique combination of new and proven marketing theories that the reader can translate into business success."""" 	—Betsy D. Holden, President and CEO, Kraft Foods  	""""Kellogg on Marketing presents a comprehensive look at marketing today, combining well-founded theory with relevant, contemporary examples in the marketplace. This should be mandatory reading for all students of marketing."""" 	—Robert S. Morrison, Chairman, President and CEO, The Quaker Oats Company  	""""The Who's Who write on the what's what of marketing. Now, these preeminent marketing doctors are making house calls. Enjoy."""" 	—Robert A. Eckert, Chairman and CEO, Mattel, Inc.  	""""This volume is a fascinating collection of perspectives on what it takes to dominate a marketspace in the New Economy. . . . A clear demonstration of why Kellogg is Kellogg-one of the thought leaders in the discipline of marketing."""" 	—Mel Bergstein, Chairman and CEO, Diamond Technology Partners  	""""New economy cases make this text appeal to old economy strategists. We shouldn't be suprised with the quality of this work, given its origin in the Kellogg School."""" 	—Ronald W. Dollens, President, Guidant Corporation""","Marketing Marketspace Positioning Kellogg School of Management"
"7",10040357,-0.161964925760832,-0.0659406869285392,3,2,"Finance","Risk","Risk Management Process : Business Strategy and Tactics","Culp, Christopher L.","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471151246.jpg","financial risk management institutional investors market risk risk management","Integrates essential risk management practices with practical corporate business strategies  Focusing on educating readers on how to integrate risk management with corporate business strategy-not just on hedging practices—The Risk Management Process is the first financial risk management book that combines a detailed, big picture discussion of firm-wide risk management with a comprehensive discussion of derivatives-based hedging strategies and tactics.  An essential component of any corporate business strategy today, risk management has become a mainstream business process at the highest level of the world's largest financial institutions, corporations, and investment management groups. Addressing the need for a well-balanced book on the subject, respected leader and teacher on the subject Christopher Culp has produced a well-balanced, comprehensive reference text for a broad audience of financial institutions and agents, nonfinancial corporations, and institutional investors.","Actuarial science Financial risk Risk management Security Management Financial risk management Credit risk Risk Finance Corporate finance Liquidity risk Market risk"
"8",10040358,-0.0751927546343349,0.0217156983119288,4,2,"Finance","Financial management","Global Asset Allocation","Zimmermann, Heinz","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/047144555x.jpg","business cycles estimator portfolio management efficient frontiers free lunch variance volatility","Reveals new methodologies for asset pricing within a global asset allocation framework. Contains cutting-edge empirical research on global markets and sectors of the global economy.  Introduces the Black-Litterman model and how it can be used to improve global asset allocation decisions.","Investment Financial risk Mathematical finance Financial markets Actuarial science Asset allocation Diversification Beta Investment management Black–Litterman model Tactical asset allocation Portfolio"
"9",10040359,0.0264432035599919,0.0332760689831479,6,3,"Economics","Mathematical economics","Wharton on Making Decisions","Hoch, Stephen J.","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471150819.jpg","game theory risk management","Perspectives from leaders in decision science at Wharton  Organized in part through Wharton's Risk Management and Decision Processes Center, the book assembles leading researchers from Wharton's business faculty who demonstrate how to apply the latest approaches in decision-making from four perspectives: personal, managerial, negotiator, and consumer.  Each chapter describes how decisions are actually made, presents the ideal scenario, and then provides practical suggestions for improvement. The subjects range from when consumers will choose variety, integrating intuition into decisions, and applying game theory and strategic decisions, to decision factors in negotiations and how choices are made about insurance and health care.","Decision theory Decision Information cascade"
"10",10040360,-0.113333929839534,0.00693312301476695,4,2,"Finance","Financial management","Real Options Solution : Finding Total Value in a High-Risk World","Boer, F. Peter","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471421278.jpg","devolution human capital intellectual capital market risk ancient mexico financial options economic profit volatility","Harness the power of real options  Real options theory is based on the Nobel Prize--winning work on financial options, and has captured the interest of executives, managers, and investors who need to understand the future profitability of an asset. Originally developed to value technology initiatives and companies, the method is now being applied broadly across various businesses and industries.  The Real Options Solution offers comprehensive coverage of the real options approach with a five-step framework and examples for applying the author's unique total value model based on real options analysis. This approach will help executives and investors minimize the risk of committing to new ventures and delivers a framework flexible enough to apply to business initiatives in all types of companies.","Actuarial science Corporate finance Financial risk Quantitative analyst Finance Option Valuation Venture capital Investment Risk management Mergers and acquisitions Risk"
"11",10040361,-0.272846025619246,-0.026170973203446,3,2,"Finance","Risk","Salomon Smith Barney Guide to Mortgage-Backed and Asset-Backed Securities","Hayre, Lakhbir","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471196908.jpg","barney cmos collateralized mortgage obligations hedge fund institutional investors mathematics subprime","Mortgage-backed and asset-backed securities are fixed-income securities, like bonds, which derive their return from an underlying mortgage or basket of mortgages, or an asset or basket of assets. This market has increased from about $100 billion in 1980 to over $2.5 trillion today.  Filling the void for a new book on fixed-income, Salomon Smith Barney Guide to Mortgage-Backed and Asset-Backed Securities provides a coherent and comprehensive approach to the subject. Featuring material used by the company, this book is an ideal training tool and resource for investment professionals, institutional investors, pension fund investors, and hedge-fund investors.","Structured finance Fixed income securities Mortgage-backed security Mortgage United States housing bubble Collateralized mortgage obligation Commercial mortgage Mortgage loan Asset-backed security Option-adjusted spread Real estate mortgage investment conduit Residential mortgage-backed security"
"12",10040362,-0.0681458886243289,-0.0144065403016896,3,2,"Finance","Risk","Book of Risk","Borge, Dan","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471196703.jpg",NA,"""In this exceptionally lucid, accessible book, one of the most highly regarded industry experts illuminates the delicate process of making decisions in an uncertain world and helps both lay people and professional risk managers understand the role of """"risk-management"""" in their work, their lives, and their businesses.  This book will enable professional risk managers to truly grasp the concepts behind their tools, and it will enable their clients (investors) and their coworkers to understand them as well. Handy and easy-to-read, The Book of Risk provides a down-to-earth look at an exciting field that has practical applications for everyone.""","Actuarial science Risk management Risk Financial risk"
"13",10040363,-0.160722989612224,-0.0187680059279431,3,2,"Finance","Risk","Credit Risk Measurement : New Approaches to Value at Risk and Other Paradigms","Saunders, Anthony","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471274763.jpg","credit risk modern portfolio theory","The most cutting-edge read on the pricing, modeling, and management of credit risk available  The rise of credit risk measurement and the credit derivatives market started in the early 1990s and has grown ever since. For many professionals, understanding credit risk measurement as a discipline is now more important than ever. Credit Risk Measurement, Second Edition has been fully revised to reflect the latest thinking on credit risk measurement and to provide credit risk professionals with a solid understanding of the alternative approaches to credit risk measurement. This readable guide discusses the latest pricing, modeling, and management techniques available for dealing with credit risk. New chapters highlight the latest generation of credit risk measurement models, including a popular class known as intensity-based models. Credit Risk Measurement, Second Edition also analyzes significant changes in banking regulations that are impacting credit risk measurement at financial institutions. With fresh insights and updated information on the world of credit risk measurement, this book is a must-read reference for all credit risk professionals.","Actuarial science Risk Credit risk Credit scoring Financial risk Risk management Finance CAMELS rating system"
